County,Jurisdiction,Clerk,Address,Hours
ALGER,AU TRAIN TOWNSHIP,MARY WALTHER JOHNSON,"N7569 SPRUCE ST,AU TRAIN,MI,49806",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALGER,LIMESTONE TOWNSHIP,DANITA RASK,"LIMESTONE TOWNSHIP HALL,N 3010 STATE HIGHWAY 67,LIMESTONE,MI,49816",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALGER,LIMESTONE TOWNSHIP,DANITA RASK,"LIMESTONE TOWNSHIP HALL,N 3010 STATE HIGHWAY 67,LIMESTONE,MI,49816",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALGER,LIMESTONE TOWNSHIP,DANITA RASK,"N 3010 STATE HIGHWAY M 67,LIMESTONE,MI,49816",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALGER,MUNISING CITY,SUE ROBERTS,"301 E. SUPERIOR ST.,301 E. SUPERIOR ST.,MUNISING,MI,49862",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALGER,MUNISING TOWNSHIP,PATTY WILLSON,"E9630 PROSPECT ST,WETMORE,MI,49895",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,ALLEGAN CITY,TRACY STULL,"231 TROWBRIDGE STREET,ALLEGAN,MI,49010",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,ALLEGAN TOWNSHIP,MICHELLE WAITE,"3037 118TH AVENUE,ALLEGAN,MI,49010",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,CASCO TOWNSHIP,RACHEL RIDLEY,"7104 107TH AVENUE,SOUTH HAVEN,MI,49090",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,CHESHIRE TOWNSHIP,JODI  PINNELL,"471 41ST ST,TOWNSHIP HALL,ALLEGAN,MI,49010",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,CLYDE TOWNSHIP,PAM ONKEN,"1679 56TH STREET,FENNVILLE,MI,49408",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,DORR TOWNSHIP,DEBBIE SEWERS,"1683 142ND AVE,DORR,MI,49323",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,FENNVILLE CITY,SAMUEL  JACOBS,"125 S MAPLE ST,FENNVILLE,MI,49408",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,FILLMORE TOWNSHIP,ELAINE MOKMA,"4219 52ND ST,HOLLAND,MI,49423",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,GANGES TOWNSHIP,ROBIN PHELPS,"1904 64TH ST,FENNVILLE,MI,49408",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,GUNPLAIN TOWNSHIP,MARTY MEERT,"381 8TH STREET,PLAINWELL,MI,49080",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,HEATH TOWNSHIP,MISSY HARVEY,"3440 M-40,HAMILTON,MI,49419",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,HOPKINS TOWNSHIP,STACEY TIMMER,"128 S. Franklin,Hopkins,MI,49328",24/7
ALLEGAN,LAKETOWN TOWNSHIP,JAMES DELANEY,"4338 BEELINE ROAD,HOLLAND,MI,49423",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,LEE TOWNSHIP,KATHRYN BLACKBURN,"877 56TH STREET,PULLMAN,MI,49450",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,LEIGHTON TOWNSHIP,RACHEL FENNEMA,"4451 12TH ST.,SUITE A,WAYLAND,MI,49348",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;
ALLEGAN,MANLIUS TOWNSHIP,MATTHEW  ROOKS,"3134 57th,Fennville,MI,49408",24/7
ALLEGAN,MARTIN TOWNSHIP,JENNIFER WHARTON,"998  Templeton Street,Martin,MI,49070",24/7
ALLEGAN,MONTEREY TOWNSHIP,MEGAN FRANK,"2999 30TH ST,ALLEGAN,MI,49010",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,OTSEGO CITY,ANGELA CRONEN,"117 E ORLEANS STREET,NORTH SIDE OF BUILDING - DRIVEUP,OTSEGO,MI,49078",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,OTSEGO TOWNSHIP,JEN COLIN,"400 N 16TH ST,OTSEGO,MI,49078",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,OVERISEL TOWNSHIP,PAULA SCHOLTEN,"A-4307 144TH AVE,HOLLAND,MI,49423",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,PLAINWELL CITY,JOANN LEONARD,"211 N MAIN ST,PLAINWELL,MI,49080",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,SALEM TOWNSHIP,RENEE BUSSCHER,"3003 142ND AVE,DORR,MI,49314",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,SAUGATUCK CITY,JAMIE WOLTERS,"102 BUTLER ST,SAUGATUCK,MI,49453",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,SAUGATUCK TOWNSHIP,CINDY OSMAN,"3461 BLUE STAR HWY,SAUGATUCK,MI,49453",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,TROWBRIDGE TOWNSHIP,DAVID SMALLA,"913 M-40 S,ALLEGAN,MI,49010",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,VALLEY TOWNSHIP,BRANDEE ELLIS,"2054 N. M-40,ALLEGAN,MI,49010",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,WATSON TOWNSHIP,MARY ANN BAKER,"1895 118TH AVE.,ALLEGAN,MI,49010",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,WAYLAND CITY,AMANDA RODRIGUEZ,"103 S. MAIN ST.,WAYLAND,MI,49348",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALLEGAN,WAYLAND TOWNSHIP,ROBERT FRYLING,"1060 129TH AVENUE,BRADLEY,MI,49311",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALPENA,ALPENA CITY,ANNA SOIK,"208 N. FIRST AVENUE,ALPENA,MI,49707",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALPENA,ALPENA TOWNSHIP,MICHELE PALEVICH,"4385 US 23 N,ALPENA,MI,49707",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALPENA,GREEN TOWNSHIP,MELONY SUMERIX,"2650 CALCUT ROAD,LACHINE,MI,49753",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALPENA,LONG RAPIDS TOWNSHIP,MARY SUE THOMSON,"5310 M-65 N,LACHINE,MI,49753",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALPENA,LONG RAPIDS TOWNSHIP,MARY SUE THOMSON,"5310 M-65 N,LACHINE,MICHIGAN,MI,49753",
ALPENA,MAPLE RIDGE TOWNSHIP,MELISSA HOSKINSON,"6000 W. LACOMB RD,ALPENA,MI,49707",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALPENA,OSSINEKE TOWNSHIP,JO'LEE DORIE,"9041 NICHOLSON HILL ROAD,HUBBARD LAKE,MI,49747",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALPENA,SANBORN TOWNSHIP,MARGARET CESLICK,"12025 US HWY 23 S.,OSSINEKE,MI,49766",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALPENA,WELLINGTON TOWNSHIP,PAM MADSEN,"15616 LONG RAPIDS RD,LACHINE,MI,49753",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ALPENA,WILSON TOWNSHIP,RHONDA RITTHALER,"3746 KING SETTLEMENT ROAD,ALPENA,MI,49707",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ANTRIM,BANKS TOWNSHIP,JULIE CHELLIS,"6520 CENTER ST,ALONG DRIVEWAY,ELLSWORTH,MI,49729",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ANTRIM,CENTRAL LAKE TOWNSHIP,JUDITH KOSLOSKI,"1622 N. M-88,CENTRAL LAKE,MI,49622",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ANTRIM,CHESTONIA TOWNSHIP,NANCY SHEPARD,"3995 SECOND ST,CHESTONIA TWP HALL,ALBA,MI,49611",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ANTRIM,CUSTER TOWNSHIP,STACY SIMON,"2949 ALDEN HWY,MANCELONA,MI,49659",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ANTRIM,ELK RAPIDS TOWNSHIP,DEBBIE HUSBAND,"315 BRIDGE ST.,  PO BOX 365,FRONT DOOR,ELK RAPIDS,MI,49629",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ANTRIM,FOREST HOME TOWNSHIP,SUZANNE MAHAN,"321 N. BRIDGE ST.,BELLAIRE,MI,49615",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ANTRIM,HELENA TOWNSHIP,ORYANA LEFFEW,"8751 HELENA ROAD,ALDEN,MI,49612",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ANTRIM,KEARNEY TOWNSHIP,MICHELLE VALUET,"4820 AERO PARK DR.,BELLAIRE,MI,49615",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ANTRIM,MANCELONA TOWNSHIP,MIKE BIEHL,"TOWNSHIP HALL,9610 S. M-88 HWY.,MANCELONA,MI,49659",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ANTRIM,MILTON TOWNSHIP,JANET BEEBE,"7023 CHERRY AVE,KEWADIN,MI,49648",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ANTRIM,STAR TOWNSHIP,CAROLYN MCCALLUM,"6775 ALBA HIGHWAY,ELMIRA,MI,49730",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ANTRIM,TORCH LAKE TOWNSHIP,MARY MERCHANT,"2355 US HWY 31 N,KEWADIN,MI,49648",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ARENAC,ADAMS TOWNSHIP,CHARITY SISCO,"6600 STERLING RD.,STERLING,STERLING,MI,48659",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ARENAC,ARENAC TOWNSHIP,ELIZABETH HARZINSKI,"2596 STATE RD,STANDISH,MI,48658",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ARENAC,AU GRES CITY,LAVONNE PRITCHARD,"124 W. HURON,AU GRES,MI,48703",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ARENAC,AU GRES TOWNSHIP,MICHAEL OXLEY,"1865 SWENSON RD,AU GRES,MI,48703",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ARENAC,CLAYTON TOWNSHIP,ROBYN FOGARASI,"1057 DOBLER ROAD,STERLING,MI,48659",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ARENAC,DEEP RIVER TOWNSHIP,CASEY GWISDALA,"525 E. STATE ST.,STERLING,MI,48659",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ARENAC,LINCOLN TOWNSHIP,KRISTIE DAMRON,"5173 JOHNSFIELD RD.,STANDISH,MI,48658",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ARENAC,MASON TOWNSHIP,AMANDA HOFMEISTER,"1225 MAPLE RIDGE RD.,TWINING,MI,48766",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ARENAC,MOFFATT TOWNSHIP,ALLISON CHMIELEWSKI,"1590 M-76,ALGER,MI,48610",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ARENAC,OMER CITY,SANDRA  ROOD,"201 E CENTER,OMER,MI,48749",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ARENAC,SIMS TOWNSHIP,JILL  SANZO ,"4489 E HURON RD,AU GRES,MI,48703",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ARENAC,STANDISH CITY,CHAMPAGNE SOUTHWORTH,"399 E. BEAVER ST.,STANDISH,MI,48658",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ARENAC,STANDISH TOWNSHIP,MELISSA  JENNINGS,"4997 ARENAC STATE RD.,STANDISH,MI,48658",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ARENAC,TURNER TOWNSHIP,REBECCA PINGOT,"110 PARK ST,TWINING,MI,48766",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
ARENAC,WHITNEY TOWNSHIP,KIMBERLY ANDERSON,"1515 N HURON,TAWAS CITY,MI,48763",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARAGA,ARVON TOWNSHIP,LISA MARINICH,"14470 MARINICH DR.,L'ANSE,MI,49946",MONDAY A;TUESDAY A;WEDNESDAY A;THURSDAY A;
BARAGA,BARAGA TOWNSHIP,MICHELLE FISH,"13919 STATE HWY M-38,BARAGA,MI,49908",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARAGA,COVINGTON TOWNSHIP,AMY LEAF,"12898 HWY M28,COVINGTON,MI,49919",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARAGA,LANSE TOWNSHIP,KRISTIN KAHLER,"126 N MAIN ST,L'ANSE,MI,49946",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARRY,ASSYRIA TOWNSHIP,CHERYL THORNTON,"8094 TASKER RD,BELLEVUE,MI,49021",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARRY,BALTIMORE TOWNSHIP,JANA BISHOP,"3100 E. DOWLING RD,HASTINGS,MI,49058",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARRY,BARRY TOWNSHIP,DEBRA KNIGHT,"11300 M43 HWY,DELTON,MI,49046",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARRY,CARLTON TOWNSHIP,AMANDA CAROTHERS,"85 WELCOME ROAD,HASTINGS,MI,49058",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARRY,CASTLETON TOWNSHIP,MARCIA SCRAMLIN,"915 REED ST,P.O. BOX 679,NASHVILLE,MI,49073",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARRY,HASTINGS CITY,LINDA PERIN,"201 EAST STATE STREET,HASTINGS,MI,49058",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARRY,HASTINGS TOWNSHIP,DAVID OLSON,"885 RIVER RD,HASTINGS,MI,49058",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARRY,HOPE TOWNSHIP,DEBORAH JACKSON,"5463 S M-43 HWY,ON SIDE OF HALL.,HASTINGS,MI,49058",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARRY,IRVING TOWNSHIP,TESSA STOUT,"3425 WING RD,HASTINGS,MI,49058",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARRY,JOHNSTOWN TOWNSHIP,SHERI BABCOCK,"13641 S M-37 HWY,BATTLE CREEK,MI,49017",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARRY,MAPLE GROVE TOWNSHIP,HOLLY CARPENTER,"721 DURKEE STREET,NASHVILLE,MI,49073",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARRY,ORANGEVILLE TOWNSHIP,MELODY RISNER,"7350 LINDSEY RD,ON SIDE OF BUILDING.,PLAINWELL,MI,49080",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARRY,PRAIRIEVILLE TOWNSHIP,ROD GOEBEL,"11015 S NORRIS ROAD,DELTON,MI,49046",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
BARRY,RUTLAND TOWNSHIP,ROBIN HAWTHORNE,"2461 HEATH RD,HASTINGS,MI,49058",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
