GEOGRAPHIC_COUNTY_NAME,JURISDICTION,PRECINCT,LOCATION,GEO_LOCATION
ALGER COUNTY,AU TRAIN TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
COMMUNITY BUILDING
N7569 SPRUCE ST
AU TRAIN MI 49806

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALGER COUNTY,BURT TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
COMMUNITY BUILDING
E21738 BRAZEL ST
GRAND MARAIS MI 49839

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALGER COUNTY,GRAND ISLAND TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
7TH DAY ADVEN SCHOOL
E8799 M-28 WEST
MUNISING MI 49862

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALGER COUNTY,LIMESTONE TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
TOWNSHIP HALL
N3010 STATE RD 67
CHATHAM MI 49816

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALGER COUNTY,MATHIAS TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
COMMUNITY BUILDING
E2997 STATE RD 67
TRENARY MI 49891

Handicap Accessable:
N
","Temporary Polling Location




Handicap Accessable: 
"
ALGER COUNTY,MUNISING CITY ,     PRECINCT 1,"Permanent Polling Location
CITY HALL BUILDING
301 E. SUPERIOR STREET
MUNISING MI 49862

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALGER COUNTY,MUNISING TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
MUNISING TWP OFFICE
E9630 PROSPECT ST
WETMORE MI 49895

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALGER COUNTY,ONOTA TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
TOWNSHIP HALL
E1461 DEERTON-SAND LAKE RD
DEERTON MI 49822

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALGER COUNTY,ROCK RIVER TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
TOWNSHIP HALL
E3667 STATE RD 94 - P.O. BOX 195
CHATHAM MI 49816

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,ALLEGAN CITY ,     PRECINCT 1,"Permanent Polling Location
ALLEGAN CITY HALL COUNCIL CHAMBERS
231 TROWBRIDGE ST
ALLEGAN MI 49010

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,ALLEGAN TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
ALLEGAN TWP HALL
3037 118TH AVENUE
ALLEGAN MI 49010

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,CASCO TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
CASCO TOWNSHIP HALL
7104 107TH AVE
SOUTH HAVEN MI 49090

Handicap Accessable:
Y
(CORNER OF 71ST & 107AVE)","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,CHESHIRE TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
CHESHIRE TOWNSHIP HALL
471 41ST ST
ALLEGAN MI 49010

Handicap Accessable:
Y
(CORNER OF 104TH AVENUE & 41ST STREET)","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,CLYDE TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
CLYDE TOWNSHIP HALL
1679 56TH STREET
FENNVILLE MI 49408

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,DORR TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
DORR TWP COMPLEX
4196 18TH STREET
DORR MI 49323

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,DORR TOWNSHIP ,     PRECINCT 2,"Permanent Polling Location
DORR TOWNSHIP HALL
1683 142ND AVENUE
DORR MI 49323

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,DORR TOWNSHIP ,     PRECINCT 3,"Permanent Polling Location
DORR TOWNSHIP HALL
1683 142ND AVENUE
DORR MI 49323

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,FENNVILLE CITY ,     PRECINCT 1,"Permanent Polling Location
FENNVILLE CITY HALL
125 S MAPLE
FENNVILLE MI 49408

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,FILLMORE TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
FILLMORE TOWNSHIP HALL
4219 52ND STREET
HOLLAND MI 49423

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,GANGES TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
GANGES TOWNSHIP HALL
1904 64TH ST
FENNVILLE MI 49408

Handicap Accessable:
Y
(119TH AVENUE & 64TH STREET)","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,GUNPLAIN TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
GUN PLAIN TOWNSHIP
381 8TH ST
PLAINWELL MI 49080

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,HEATH TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
HEATH TWP HALL
3440 M-40
HAMILTON MI 49419

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,HEATH TOWNSHIP ,     PRECINCT 2,"Permanent Polling Location
HEATH TWP HALL
3440 M-40
HAMILTON MI 49419

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,HOPKINS TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
HOPKINS TOWNSHIP HALL
128 S. FRANKLIN STREET
HOPKINS MI 49328

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,LAKETOWN TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
LAKETOWN TWP HALL
4338 BEELINE ROAD
HOLLAND MI 49423

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,LAKETOWN TOWNSHIP ,     PRECINCT 2,"Permanent Polling Location
GFD STATION
4534 60TH STREET
HOLLAND MI 49423

Handicap Accessable:
Y
(GRAAFSCHAP FIRE DEPT STATION ON 60TH STREET)","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,LAKETOWN TOWNSHIP ,     PRECINCT 3,"Permanent Polling Location
LAKETOWN TWP HALL
4338 BEELINE ROAD
HOLLAND MI 49423

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,LEE TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
LEE TOWNSHIP HALL
877 56TH STREET
PULLMAN MI 49450

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,LEIGHTON TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
LEIGHTON TOWNSHIP HALL
4451 12TH ST
WAYLAND MI 49348

Handicap Accessable:
Y
(HALF MILE NORTH OF 144TH, ON EAST SIDE OF 12TH ST)","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,LEIGHTON TOWNSHIP ,     PRECINCT 2,"Permanent Polling Location
LEIGHTON TOWNSHIP HALL
4451 12TH ST
WAYLAND MI 49348

Handicap Accessable:
Y
(HALF MILE NORTH OF 144TH, ON EAST SIDE OF 12TH ST)","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,LEIGHTON TOWNSHIP ,     PRECINCT 3,"Permanent Polling Location
LEIGHTON TOWNSHIP HALL
4451 12TH ST
WAYLAND MI 49348

Handicap Accessable:
Y
(HALF MILE NORTH OF 144TH, ON EAST SIDE OF 12TH ST)","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,MANLIUS TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
MANLIUS TOWNSHIP HALL
3134 57TH STREET
FENNVILLE MI 49408

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,MARTIN TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
MARTIN TOWNSHIP HALL
998 TEMPLETON ST
MARTIN MI 49070

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,MONTEREY TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
MONTEREY COMM. BLDG.
2999 30TH ST
ALLEGAN MI 49010

Handicap Accessable:
Y
(CORNER OF130TH & 30TH)","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,OTSEGO CITY ,     PRECINCT 1,"Permanent Polling Location
OTSEGO CITY HALL
117 E ORLEANS STREET
OTSEGO MI 49078

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,OTSEGO TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
OTSEGO TOWNSHIP HALL
400 N. 16TH ST.
OTSEGO MI 49078

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,OTSEGO TOWNSHIP ,     PRECINCT 2,"Permanent Polling Location
OTSEGO TOWNSHIP HALL
400 N. 16TH ST.
OTSEGO MI 49078

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,OVERISEL TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
OVERISEL TOWNSHIP HALL
A-4307 144TH AVENUE
HOLLAND MI 49423

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,PLAINWELL CITY ,     PRECINCT 1,"Permanent Polling Location
PLAINWELL CITY HALL
211 N MAIN STREET
PLAINWELL MI 49080

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,SALEM TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
SALEM TOWNSHIP HALL
3003 142ND AVENUE
DORR MI 49323

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,SALEM TOWNSHIP ,     PRECINCT 2,"Permanent Polling Location
SALEM TOWNSHIP HALL
3003 142ND AVENUE
DORR MI 49323

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,SAUGATUCK CITY ,     PRECINCT 1,"Permanent Polling Location




Handicap Accessable:

","Temporary Polling Location
SAUGATUCK CITY HALL
102 BUTLER STREET
SAUGATUCK MI 49453

Handicap Accessable: Y
"
ALLEGAN COUNTY,SAUGATUCK TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
SAUGATUCK TOWNSHIP HALL
3461 BLUE STAR HWY
SAUGATUCK MI 49453

Handicap Accessable:
Y
(CORNER OF BLUE STAR AND CLEARBROOK DRIVE)","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,TROWBRIDGE TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
TROWBRIDGE TOWNSHIP HALL
913 32ND STREET
ALLEGAN MI 49010

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,VALLEY TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
TOWNSHIP HALL
2054 NORTH M-40
ALLEGAN MI 49010

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,VILLAGE OF DOUGLAS CITY ,     PRECINCT 1,"Permanent Polling Location
DOUGLAS CITY HALL
415 WEST WILEY RD, SUITE 103
DOUGLAS MI 49406

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,WATSON TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
WATSON TOWNSHIP HALL
1895 118TH AVENUE
ALLEGAN MI 49010

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,WAYLAND CITY ,     PRECINCT 1,"Permanent Polling Location
SAFETY COMPLEX BLDG
160 W. SUPERIOR ST
WAYLAND MI 49348

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALLEGAN COUNTY,WAYLAND TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
WAYLAND TOWNSHIP HALL
1060 129TH AVENUE
BRADLEY MI 49311

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALPENA COUNTY,ALPENA CITY ,     PRECINCT 1,"Permanent Polling Location
ALPENA EVENTS COMPLEX
701 WOODWARD AVENUE
ALPENA MI 49707

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALPENA COUNTY,ALPENA CITY ,     PRECINCT 2,"Permanent Polling Location
1ST UNITED METHODIST
167 S RIPLEY BLVD
ALPENA MI 49707

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALPENA COUNTY,ALPENA CITY ,     PRECINCT 3,"Permanent Polling Location
ST ANNE CHURCH PARISH CTR
817 SABLE ST
ALPENA MI 49707

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALPENA COUNTY,ALPENA TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
ALPENA TWP OFFICES
4385 US 23 NORTH
ALPENA MI 49707

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALPENA COUNTY,ALPENA TOWNSHIP ,     PRECINCT 2,"Permanent Polling Location
WORD OF LIFE CHURCH
1900 N BAGLEY STREET
ALPENA MI 49707

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALPENA COUNTY,ALPENA TOWNSHIP ,     PRECINCT 3,"Permanent Polling Location
WORD OF LIFE CHURCH
1900 N BAGLEY STREET
ALPENA MI 49707

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALPENA COUNTY,ALPENA TOWNSHIP ,     PRECINCT 4,"Permanent Polling Location
TRIPOINT CHURCH OF GOD
500 S. BROOKE STREET
ALPENA MI 49707

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALPENA COUNTY,GREEN TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
GREEN TWP HALL
14995 M 32 W
LACHINE MI 49753

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALPENA COUNTY,LONG RAPIDS TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
EMERGENCY FACILITY
5310 M=65 NORTH
LACHINE MI 49753

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALPENA COUNTY,MAPLE RIDGE TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
MAPLE RIDGE TWP HALL
6000 LACOMB RD
ALPENA MI 49707

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALPENA COUNTY,OSSINEKE TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
OSSINEKE TWP HALL
9041 NICHOLSON HILL ROAD
OSSINEKE MI 49765

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALPENA COUNTY,SANBORN TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
SANBORN TWP HALL
12025 US HIGHWAY 23 S
OSSINEKE MI 49766

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ALPENA COUNTY,WELLINGTON TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
WELLINGTON TWP HALL
15616 LONG RAPIDS RD
LACHINE MI 49753

Handicap Accessable:
Y
(CORNER OF LONG RAPIDS RD AND COLLINS)","Temporary Polling Location




Handicap Accessable: 
"
ALPENA COUNTY,WILSON TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
WILSON TWP HALL
3746 KING SETTLEMENT ROAD
ALPENA MI 49707

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ANTRIM COUNTY,BANKS TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
VILLAGE HALL
6520 CENTER ST
ELLSWORTH MI 49729

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ANTRIM COUNTY,CENTRAL LAKE TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
GOVERNMENT CENTER
1622 N M-88 HWY
CENTRAL LAKE MI 49622

Handicap Accessable:
Y
(SOUTH OF CENTRAL LAKE VILLAGE ON M-88)","Temporary Polling Location




Handicap Accessable: 
"
ANTRIM COUNTY,CHESTONIA TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
CHESTONIA TOWNSHIP LIBRARY
3995 SECOND ST
ALBA MI 49611

Handicap Accessable:
Y
(ALBA LIBRARY - NEXT TO THE POST OFFICE)","Temporary Polling Location




Handicap Accessable: 
"
ANTRIM COUNTY,CUSTER TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
CUSTER TOWNSHIP HALL
2949 ALDEN HWY
MANCELONA MI 49659

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ANTRIM COUNTY,ECHO TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
ECHO TOWNSHIP HALL
1720 SIX MILE LAKE RD
EAST JORDAN MI 49727

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ANTRIM COUNTY,ELK RAPIDS TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
GOVERNMENTAL CENTER
315 BRIDGE ST.
ELK RAPIDS MI 49629

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ANTRIM COUNTY,FOREST HOME TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
FOREST HOME TWN HALL
321 N BRIDGE ST
BELLAIRE MI 49615

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ANTRIM COUNTY,HELENA TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
COMMUNITY CENTER
8751 HELENA RD
ALDEN MI 49612

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ANTRIM COUNTY,JORDAN TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
JORDAN TWN. HALL
2647 MT. BLISS ROAD
EAST JORDAN MI 49727

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ANTRIM COUNTY,KEARNEY TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
KEARNEY TWP HALL
4820 AERO PARK DR
BELLAIRE MI 49615

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ANTRIM COUNTY,MANCELONA TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
MANCELONA TWP. HALL
9610 S M-88 HIGHWAY
MANCELONA MI 49659

Handicap Accessable:
Y
(JUST SOUTH OF THE VILLAGE OF MANCELONA ON M-88)","Temporary Polling Location




Handicap Accessable: 
"
ANTRIM COUNTY,MANCELONA TOWNSHIP ,     PRECINCT 2,"Permanent Polling Location
MANCELONA TWP. HALL
9610 S M-88 HIGHWAY
MANCELONA MI 49659

Handicap Accessable:
Y
(JUST SOUTH OF THE VILLAGE OF MANCELONA ON M-88)","Temporary Polling Location




Handicap Accessable: 
"
ANTRIM COUNTY,MILTON TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
MILTON TOWNSHIP HALL
7023 CHERRY AVE
KEWADIN MI 49648

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ANTRIM COUNTY,STAR TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
STAR TOWNSHIP HALL
6775 ALBA HWY
ALBA MI 49611

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ANTRIM COUNTY,TORCH LAKE TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
TORCH LAKE TWP HALL
2355 N. US 31
KEWADIN MI 49648

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ANTRIM COUNTY,WARNER TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
WARNER TOWN HALL
2434 RAY ST
ELMIRA MI 49730

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ARENAC COUNTY,ADAMS TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
ADAMS TWP.HALL
6600 STERLING ROAD
STERLING MI 48659

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ARENAC COUNTY,ARENAC TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
ARENAC TWP HALL
2596 STATE ROAD
STANDISH MI 48658

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ARENAC COUNTY,AU GRES CITY ,     PRECINCT 1,"Permanent Polling Location
AU GRES CITY HALL
124 W. HURON ST.
AUGRES MI 48703

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ARENAC COUNTY,AU GRES TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
AUGRES TWP. HALL
1865 S. SWENSON
AUGRES MI 48703

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ARENAC COUNTY,CLAYTON TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
CLAYTON TWP. HALL
1057 DOBLER ROAD
STERLING MI 48659

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ARENAC COUNTY,DEEP RIVER TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
DEEP RIVER TWP. HALL
511 E. STATE ST
STERLING MI 48659

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ARENAC COUNTY,LINCOLN TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
LINCOLN TWP HALL
5173 JOHNSFIELD  ROAD
STANDISH MI 48658

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ARENAC COUNTY,MASON TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
MASON TWP HALL
1225 MAPLE RIDGE ROAD
TWINING MI 48766

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ARENAC COUNTY,MOFFATT TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
MOFFATT TOWNSHIP FIRE HALL
1590 M76
ALGER MI 48610

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ARENAC COUNTY,OMER CITY ,     PRECINCT 1-1,"Permanent Polling Location
OMER CITY HALL
201 E. CENTER ST.
OMER MI 48749

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ARENAC COUNTY,SIMS TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
SIMS TWP. HALL
4489 E. HURON RD.
AUGRES MI 48703

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ARENAC COUNTY,STANDISH CITY ,     PRECINCT 1,"Permanent Polling Location
STANDISH CITY HALL
399 E. BEAVER ST.
STANDISH MI 48658

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ARENAC COUNTY,STANDISH TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
STANDISH TWP.HALL
4997 ARENAC STATE ROAD
STANDISH MI 48658

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ARENAC COUNTY,TURNER TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
TURNER TWP. HALL
110 PARK ST.
TURNER MI 48765

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
ARENAC COUNTY,WHITNEY TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
WHITNEY TWP HALL
1515 N. HURON
TAWAS CITY MI 48763

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
BARAGA COUNTY,ARVON TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
SKANEE
20986 TOWN ROAD
SKANEE MI 49962

Handicap Accessable:
N
","Temporary Polling Location




Handicap Accessable: 
"
BARAGA COUNTY,BARAGA TOWNSHIP ,     PRECINCT 1,"Permanent Polling Location
BARAGA TOWNSHIP HALL
13919 STATE HWY M-38
BARAGA MI 49908

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
BARAGA COUNTY,BARAGA TOWNSHIP ,     PRECINCT 2,"Permanent Polling Location
BARAGA TOWNSHIP HALL
13919 STATE HWY M-38
BARAGA MI 49908

Handicap Accessable:
Y
","Temporary Polling Location




Handicap Accessable: 
"
